id_envio,id_usuario,direccion,ciudad,fecha_envio,estado
8.0,3.0,carrera 45,bogotá,2026-04-27 10:19:37.236883,enviado
3.0,2.0,carrera 45,,2026-04-24 10:19:37.236907,enviado
6.0,2.0,none,,2026-04-22 10:19:37.236912,enviado
3.0,1.0,carrera 45,,2026-04-21 10:19:37.236950,entregado
3.0,1.0,,cali,2026-04-25 10:19:37.236955,entregado
8.0,2.0,calle 123,bogotá,2026-04-29 10:19:37.236965,enviado
8.0,3.0,calle 123,bogotá,2026-04-28 10:19:37.237015,entregado
10.0,1.0,,bogotá,2026-04-23 10:19:37.237033,enviado
8.0,2.0,calle 123,,2026-04-23 10:19:37.237041,entregado
6.0,2.0,,cali,2026-04-25 10:19:37.237051,pendiente
7.0,2.0,,cali,2026-04-29 10:19:37.237061,enviado
8.0,2.0,carrera 45,medellín,2026-04-22 10:19:37.237071,pendiente
2.0,3.0,carrera 45,medellín,2026-04-21 10:19:37.237075,pendiente
3.0,3.0,carrera 45,medellín,2026-04-29 10:19:37.237095,pendiente
4.0,1.0,carrera 45,medellín,2026-04-25 10:19:37.237101,enviado
1.0,3.0,calle 123,bogotá,2026-04-20 10:19:37.237118,pendiente
4.0,3.0,carrera 45,medellín,2026-04-23 10:19:37.237134,enviado
5.0,2.0,calle 123,,,pendiente
6.0,3.0,none,medellín,2026-04-30 10:19:37.237153,enviado
5.0,1.0,,medellín,2026-04-22 10:19:37.237162,entregado
2.0,3.0,,medellín,2026-04-21 10:19:37.237182,enviado
9.0,3.0,,cali,2026-04-27 10:19:37.237199,enviado
5.0,2.0,carrera 45,medellín,2026-04-21 10:19:37.237218,pendiente
9.0,1.0,none,bogotá,2026-04-22 10:19:37.237230,enviado
6.0,1.0,calle 123,,2026-04-27 10:19:37.237243,pendiente
6.0,2.0,calle 123,,2026-04-25 10:19:37.237277,entregado
9.0,3.0,calle 123,cali,2026-04-27 10:19:37.237281,pendiente
1.0,1.0,calle 123,,2026-04-30 10:19:37.237311,pendiente
1.0,2.0,none,bogotá,2026-04-26 10:19:37.237318,entregado
7.0,1.0,carrera 45,,2026-04-24 10:19:37.237397,pendiente
1.0,2.0,,medellín,2026-04-29 10:19:37.237490,pendiente
5.0,3.0,,bogotá,2026-04-29 10:19:37.237503,pendiente
6.0,2.0,,medellín,2026-04-30 10:19:37.237538,pendiente
2.0,3.0,carrera 45,,2026-04-21 10:19:37.237545,entregado
8.0,2.0,carrera 45,medellín,,enviado
2.0,2.0,calle 123,medellín,2026-04-20 10:19:37.237596,enviado
3.0,3.0,calle 123,cali,,entregado
4.0,3.0,,medellín,2026-04-22 10:19:37.237629,pendiente
3.0,2.0,carrera 45,cali,2026-04-20 10:19:37.237641,entregado
5.0,3.0,calle 123,,2026-04-28 10:19:37.237670,enviado
4.0,2.0,,bogotá,2026-04-26 10:19:37.237732,entregado
4.0,1.0,none,cali,2026-04-30 10:19:37.237737,pendiente
